CM,KT,TH,ZC,estado,lat,lon,municipio,KT_nome,TH_nome,CM_nome
54.0,5.0,5.0,7701.0,Parana,-23.706142289284806,-52.00775339259462,Itambe,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.98535024064649,-52.82169902504558,Itapejara D'oeste,Cfa,B3,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.11332069080215,-49.49813897053859,Itaperucu,Cfa,B3,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.72994318563744,-52.898189183731226,Itauna Do Sul,BSh,C2 (Subúmido),TR-SB
54.0,5.0,4.0,6801.0,Parana,-24.98524054857438,-50.85975548095329,Ivai,Cfa,B2,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.28276935826044,-51.628707412589165,Ivaipora,Cfa,B1,ST-SB
64.0,5.0,6.0,7601.0,Parana,-23.352801282722577,-53.42341775271692,Ivate,Cfa,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7601.0,Parana,-23.599997802588607,-52.178519445723055,Ivatuba,Cfa,B1,ST-SB
54.0,5.0,5.0,7601.0,Parana,-23.71714259516955,-50.07927591748506,Jaboti,Cfa,B1,ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.148715655108536,-49.947483864199135,Jacarezinho,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.06404709446659,-51.5586578244749,Jaguapita,Cfa,C2 (Subúmido),ST-SB
44.0,6.0,4.0,6801.0,Parana,-24.33050570214775,-49.69713544995618,Jaguariaiva,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.627321666999116,-51.68376885555225,Jandaia Do Sul,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.124716570794973,-52.80890274268534,Janiopolis,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.727900916091063,-50.16309247352929,Japira,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.437504331957562,-52.54066837521887,Japura,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.205535077940837,-51.771098245586934,Jardim Alegre,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.573332004450407,-52.07864191017627,Jardim Olinda,BSh,C2 (Subúmido),TR-SB
64.0,3.0,6.0,7601.0,Parana,-23.254059212363988,-50.918317432184665,Jataizinho,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-24.422291852351684,-53.40874964429361,Jesuitas,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.45587747189505,-49.9096460775699,Joaquim Tavora,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.47798383839353,-50.22931003666097,Jundiai Do Sul,Cfa,B1,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.398934113974104,-52.83820057267146,Juranda,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.63623030109599,-52.445896921512,Jussara,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.856472002485635,-51.68932469691415,Kalore,Cfa,B1,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.7697168531774,-49.871328136269895,Lapa,Cfb,B2,TE-SB
54.0,5.0,4.0,6801.0,Parana,-24.9156009459136,-52.46094469857031,Laranjal,Cfa,B2,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.35416949112029,-52.379708320703024,Laranjeiras Do Sul,Cfb,B3,ST-SB
64.0,3.0,6.0,7501.0,Parana,-23.02976513143677,-50.71310435242704,Leopolis,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-24.09217119599259,-51.638989946289485,Lidianopolis,Cfa,B1,ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.263021757557613,-53.55563272194924,Lindoeste,Cfa,B2,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.948605231136582,-53.07088685744033,Loanda,BSh,C2 (Subúmido),TR-SB
54.0,5.0,6.0,7601.0,Parana,-22.981159147178275,-51.9868947419154,Lobato,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.523450999935303,-51.105333907732145,Londrina,Cfa,B1,ST-SB
